시간	No.	카테고리	문제 전문	정답 키워드	해설 및 암기 팁
7:14:22	1121	전기이론	전류에 의한 자기장의 세기를 구하는 비오-사바르 법칙을 옳게 나타낸 것은?	dH=4πR2I⋅dLsinθ​	비오-사바르 법칙: 자기장 세기는 거리 R의 제곱에 반비례하고 sinθ에 비례한다. (분모 R2 확인).
7:15:23	1122	전기이론	평등자계 B 속을 V 속도를 가진 전자가 움직일 때 받는 힘을 어떻게 나타내느냐?	F=evB (또는 QvB)	로렌츠의 힘 공식 F=QvB. (전자의 전하량 Q=e로 표기 가능).
7:16:05	1123	전기이론	RC 병렬 공진 회로에서 공진 주파수 f0​는?	f0​=2πLC​1​	LC 공진 회로의 공진 주파수 공식 암기. (직렬/병렬 기본형은 같다).
7:17:07	1124	전기이론	RLC 직렬 회로에서 전압과 전류가 동상이 되기 위한 조건은?	ω2LC=1	공진 조건: XL​=XC​⇒ωL=ωC1​⇒ω2LC=1.
7:17:59	1125	전기이론	다음 중 도전율을 나타내는 단위는?	S/m (모/m)	도전율(σ)은 고유 저항(ρ)의 역수이며, 단위는 Ω−1/m 또는 S/m (지멘스/m, 모/m)이다.
7:18:50	1126	전기이론	평형 3상 교류회로에서 Y 결선을 할 때 성간전압 VL​과 상전압 VP​의 관계는?	VL​=3​VP​	Y 결선에서는 선간전압이 상전압의 $\sqrt{3}$배이다. (전류는 IL​=IP​).
7:19:14	1127	전기이론	기전력이 V0​, 내부 저항이 RΩ인 n개 전지를 직렬 연결했다. 전체 내부 저항은 얼마인가?	nR	직렬 연결 시 전체 내부 저항은 개수 n과 내부 저항 R의 곱이다.
7:20:01	1128	전기이론	자기 회로의 길이 Lm, 단면적 Am$^2$, 투자율이 μ일 때 자기 저항 Rm​을 나타내는 것은?	Rm​=μAL​	자기 저항 공식 투자율×단면적자로의길이​ 암기.
7:20:48	1129	전기이론	사인파 교류 전압을 표시한 것으로 잘못된 것은? (단 θ는 회전각이며 ω는 각속도다)	Vm​sin(2πt)	순시값 v=Vm​sin(ωt)=Vm​sin(2πft)=Vm​sin(T2π​t). $V_m \sin(2\pi t)$는 f가 1Hz인 특수한 경우.
7:21:58	1130	전기이론	자체 인덕턴스가 각각 L1​,L2​인 두 원통 코일이 서로 직교하고 있다. 두 코일 사이에 상호 인덕턴스 M은?	M=0	두 코일이 직교하면 세교 자속이 없어 **결합 계수 k=0**이 되므로 상호 인덕턴스 $M=k\sqrt{L_1 L_2}$는 0이다.
7:23:24	1131	전기이론	자화력, 자기장의 세기를 표시하는 식과 관계가 되는 것은?	H=LNI​	자기장 세기 H는 길이권수×전류​ 공식으로 나타낸다.
7:23:55	1132	전기이론	반지름이 R, 권수가 N회인 환상 솔레노이드에 I의 전류가 흐를 때 그 내부 자장세기 H는 얼마인가?	H=2πRNI​	환상 솔레노이드의 내부 자기장 세기는 $\frac{권수 \times 전류}{둘레}$로 구한다. (둘레 =2πR).
7:24:40	1133	전기이론	진공 중에서 같은 크기의 두 자극을 1m 거리에 놓았을 때 그 작용하는 힘이 6.33×104N이 되는 자극의 단위는?	1 웨버 (Wb)	1 웨버의 정의 (문제 15번과 동일).
7:25:25	1134	전기이론	RL 직렬 회로에서 임피던스 Z의 크기를 나타내는 식은?	Z=R2+XL2​​	RL 직렬 회로의 임피던스 크기는 $\sqrt{R^2 + X_L^2}$이다. (Z=R+jXL​의 크기).
7:25:52	1135	전기이론	그림의 병렬 공진 회로에서 공진 임피던스 Z0​는?	Z0​=CRL​	RLC 병렬 공진 회로의 공진 임피던스 Z0​ 공식 CRL​ 암기.
7:27:18	1136	전기이론	저항 세 개가 Δ 결선으로 되어 있는 것을 Y 결선으로 환산하면 일상의 저항은?	31​ 배	Δ 결선에서 Y 결선으로 환산 시 저항은 **31​**로 감소한다. (Δ→Y는 31​, Y→Δ는 3배).
7:27:45	1137	전기이론	다음 괄호 안에 들어갈 내용으로 맞는 것은? 자기 인덕턴스가 $1\underline{(\quad)}$인 코일에 흐르는 전류의 변화율이 1A/s일 때 1V의 기전력이 발생한다.	헨리 (H)	1 헨리 (H)의 정의: 1A/s의 전류 변화율에 대해 1V의 기전력이 유도될 때의 인덕턴스 값.
7:28:05	1138	전기이론	어떤 콘덴서에 VV의 전압을 가해서 Q 쿨롱의 전하를 충전할 때 저장되는 에너지(J)로 표시되는 것은?	W=21​QV	콘덴서 저장 에너지 W=21​CV2. Q=CV 관계를 이용하여 W=21​QV 또는 $W = \frac{Q^2}{2C}$로 변환 가능.
7:28:57	1139	전기이론	Q1​으로 대전된 용량 C1​의 콘덴서에 용량 C2​를 병렬 연결할 경우 C2​가 분배받는 전기량 Q2​는?	Q2​=C1​+C2​C2​​Q1​	콘덴서 병렬 연결 시 각 콘덴서에 분배되는 전하량은 용량에 비례한다. (전체 용량 분의 자신의 용량).
7:30:04	1140	전기이론	진공 중의 두 점전하 Q1​,Q2​가 거리 R 사이에서 작용하는 정전력의 크기를 옳게 나타낸 것은?	F=9×109⋅R2Q1​Q2​​	쿨롱의 법칙 (문제 4번과 동일).
7:30:23	1141	전기이론	Y 결선에서 성간전압 VL​과 상전압 VP​의 관계는?	VL​=3​VP​	Y 결선 전압 관계 (문제 24번과 동일).
7:30:47	1142	전기이론	평행한 두 도성간의 전자력은 거리에 어떻게 되는가?	거리에 반비례	평행 도선 전자력: F=2Iar10−7​ (단위 길이당). 거리 r의 제곱이 아닌, 거리에 반비례한다.
7:31:10	1143	전기이론	정전 에너지 W를 구하는 식으로 옳은 것은?	W=21​CV2	정전 에너지: W=21​CV2=21​QV=2CQ2​. 가장 기본인 W=21​CV2를 암기하고 변형 공식을 유도한다.
7:31:53	1144	전기이론	자기 인덕턴스가 각각 L1​과 L2​인 두 개의 코일이 직렬로 가동 접속되었을 때 합성 인덕턴스는? (단, 자기력에 의한 영향을 서로 받는 경우)	L=L1​+L2​+2M	직렬 인덕턴스 합성: 가동 접속이면 +2M, 차동 접속이면 −2M. (M: 상호 인덕턴스)
7:32:42	1145	전기이론	전기장의 세기에 관한 단위는?	V/m (볼트/미터)	전기장 세기: E의 단위는 V/m. 자기장 세기: H의 단위는 AT/m (암페어 턴/미터).
7:32:53	1146	전기이론	교류 회로에서 무효 전력의 단위는?	VAr (볼트 암페어 리액티브)	무효 전력 단위는 Var. 유효 전력 단위는 W (와트). 피상 전력 단위는 VA (볼트 암페어).
7:33:24	1147	전기이론	환상 철심의 평균 자로 길이 L, 단면적 A, 비투자율 μs​, 권선수 N1​,N2​인 두 코일의 상호 인덕턴스 M은?	M=L4πμ0​μs​AN1​N2​​ (단, 4π×10−7 포함)	환상 철심 상호 인덕턴스: 분모에 평균 자로 길이 L이 오고, 분자에 4πμ0​μs​AN1​N2​가 곱해진다.
7:34:11	1148	전기이론	다음 중 1V와 같은 값은?	J/C (줄/쿨롬)	전위차 V 공식: W=QV에서 V=W/Q. 단위는 V=J/C (줄 퍼 쿨롬)
7:34:42	1149	전기이론	Q [쿨롬]의 전기량이 도체를 이동하면서 한 일 W [줄]이라 했을 때, 전위차 V를 나타내는 관계식으로 옳은 것은?	V=QW​	전위차 공식: W=QV에서 V=QW​. (W: 일, Q: 전하량, V: 전위차)
7:34:57	1150	전기이론	단면적 A[m2], 자로 길이 L[m], 투자율 μ, 권수 N인 환상 철심의 자체 인덕턴스 L은?	L=LμAN2​	환상 철심 자체 인덕턴스: 상호 인덕턴스(M)와 유사하나, 권수가 N2으로 되고 4π가 없다.
7:35:22	1151	전기이론	평형 3상 교류 회로에서 델타 부하의 한 상의 임피던스가 ZΔ​일 때 등가 변환한 Y 부하의 한 상의 임피던스 ZY​는 얼마인가?	ZY​=31​ZΔ​	Δ−Y 등가 변환: Y 부하의 임피던스(ZY​)는 Δ 부하(ZΔ​)의 $\frac{1}{3}$이다.
7:35:58	1152	전기이론	유효 전력의 식으로 옳은 것은? (단, E는 전압, I는 전류, θ는 위상각이다.)	P=EIcosθ	교류 전력 공식: 유효 전력 P=EIcosθ. 무효 전력 Pr​=EIsinθ. 피상 전력 Pa​=EI.
7:36:30	1153	전기이론	기전력이 V [V], 내부 저항이 r인 n개의 전지를 직렬 연결했다. 전체 내부 저항을 옳게 나타낸 것은?	nr	전지 내부 저항: 직렬 연결 시 nr (그냥 더함), 병렬 연결 시 r/n (저항의 병렬 연결과 반대)
7:36:58	1154	전기이론	C1​,C2​를 직렬 접속한 회로에 C3​를 병렬로 접속했다. 이 회로의 합성 정전 용량은?	C1​+C2​C1​C2​​+C3​	정전 용량 합성: 직렬은 저항의 병렬처럼 C1​+C2​C1​C2​​ (합분의 곱), 병렬은 저항의 직렬처럼 그냥 더한다.
7:37:33	1155	전기이론	평균 반지름이 r이고 감은 수가 N인 환상 솔레노이드의 전류 I가 흐를 때 내부의 자기장 세기 H는?	H=2πrNI​	환상 솔레노이드 자기장 세기: H=LNI​ 이고, 자로 길이 L은 2πr 이다. (H 단위: AT/m)
7:37:59	1156	전기이론	그림의 병렬 공진 회로에서 공진 주파수 f0​는? (R, L, C가 직렬로 연결된 회로에서 L-C 부분에만 병렬 연결된 경우)	f0​=2π1​LC1​−L2R2​​	병렬 공진 주파수: R이 직렬로 포함된 경우, LC1​ 항에서 $\frac{R^2}{L^2}$을 뺀다. (R이 병렬로 포함된 경우와 구분)
7:38:23	1157	전기이론	델타 결선 성간전압 VL​과 상전압 VP​, 선전류 IL​, 상전류 IP​의 관계식으로 옳은 것은?	VL​=VP​,IL​=3​IP​	Δ 결선: 전압은 VL​=VP​ (같고), 전류는 IL​=3​IP​ (선전류가 $\sqrt{3}$배)
7:38:58	1158	전기이론	두 개의 저항 R1​,R2​를 병렬 접속하면 합성 저항은?	R1​+R2​R1​R2​​	저항 병렬 합성: 두 개 저항의 경우 합분의 곱으로 계산한다.
7:39:24	1159	전기이론	단상 전력계 두 대를 사용해서 2전력계법으로 3상 전력을 측정하고자 한다. 두 전력계의 지시값이 각각 P1​,P2​였다. 3상 전력 P를 구하는 식으로 옳은 것은?	P=P1​+P2​	2전력계법: 3상 전력은 두 전력계 지시값의 합(P1​+P2​)이다. (역률 계산 시는 3​(P1​−P2​) 활용)
7:39:46	1160	전기이론	그림과 같이 R1​,R2​,R3​ 저항 세 개를 직병렬 접속(R1, R2 직렬 후 R3와 병렬)되어 있을 때 합성 저항은?	(R1​+R2​)+R3​(R1​+R2​)R3​​	합성 저항: R1​+R2​를 하나의 저항(R12​)으로 보고, $R_{12}$와 $R_3$를 병렬 연결($\frac{R_{12} R_3}{R_{12} + R_3}$)로 계산한다.
7:40:25	1161	전기이론	다음 중 1줄과 같은 것은?	1W⋅s (와트 세크)	전력량 W 공식: W=Pt. 단위는 J=W⋅s (줄 = 와트 × 초)
7:40:38	1162	전기이론	I의 전류가 흐르고 있는 도체의 미소 부분 ΔL의 전류에 의해 이 부분이 R [m] 떨어진 지점 P의 자기장 세기 H를 묻는 문제.	dH=4πR2IΔLsinθ​	비오-사바르 법칙: 미소 자기장 dH는 거리(R)의 제곱에 반비례, 전류(I), 미소 길이(ΔL), sinθ에 비례한다.
7:41:40	1163	전기이론	공기 중에 +m [Wb]의 자극으로부터 나오는 자기력선의 총수는?	μ0​m​	자기력선의 총수: 자극 m을 진공의 투자율 μ0​로 나눈 값 (μ0​=4π×10−7). (해설의 '엠퍼' 암기 팁)
7:41:55	1164	전기이론	그림에서 평형 조건이 맞는 식은? (저항 R1​,R2​와 콘덴서 C1​,C2​로 구성된 브릿지 회로)	R1​C1​=R2​C2​	브릿지 평형 조건: 대각선으로 마주보는 임피던스의 곱이 같아야 한다. 콘덴서(C)의 임피던스는 $\frac{1}{j \omega C}$이므로, jωC1​1​R2​=jωC2​1​R1​ 이 되어 C1​R2​​=C2​R1​​ 또는 R1​C1​=R2​C2​가 된다.
7:42:52	1165	전기이론	자체 인덕턴스가 L1​,L2​인 두 코일을 직렬로 접속했을 때 합성 인덕턴스는? (단, 두 코일 간의 상호 인덕턴스는 M이다.)	L=L1​+L2​±2M	직렬 인덕턴스 합성: 상호 인덕턴스 M이 주어지면 가동 접속(+2M) 또는 차동 접속(−2M)을 고려하여 ±2M이 된다.
7:43:18	1166	전기이론	RL 직렬 회로의 교류 전압 V=VM​sinθt [V]를 가했을 때 회로의 위상각 θ를 나타낸 것은?	θ=arctan(RωL​)	RL 직렬 회로 위상각: tanθ=저항리액턴스​=RωL​. 따라서 $\theta = \arctan (\frac{\omega L}{R})$이다.
7:44:14	1167	전기이론	2전력계법으로 3상 전력을 측정할 때 지시값이 $P_1=200 \text{W}, P_2=200 \text{W}$였다. 부하 전력은?	400W	2전력계법 부하 전력: 3상 전력 P는 P1​+P2​이다. (200W+200W=400W)
7:44:36	1168	전기이론	π/6 [라디안]은 몇 도인가?	30∘	라디안-각도 변환: π [rad]=180∘. 6π​=6180∘​=30∘.
7:44:44	1169	전기이론	평형 3상 회로에서 일상의 소비 전력이 P [W]라면 3상 회로 전체 소비 전력은?	3P	3상 전력: 평형 3상 회로 전체 전력은 한 상 전력 P의 3배(3P)이다.
7:45:01	1170	전기이론	평균 반지름이 $10 \text{cm}$이고 감은 횟수가 10회인 원형 코일에 $5 \text{A}$의 전류를 흐르게 하면 코일 중심의 자장 세기는 몇 $\text{AT/m}$인가?	250AT/m	원형 코일 중심 자기장 세기: H=2rNI​. (N=10,I=5,r=0.1m (10cm)). H=2×0.110×5​=0.250​=250.
7:45:34	1171	전기이론	$3 \text{V}$의 기전력으로 $300 \text{C}$의 전기량이 이동할 때 몇 줄의 일을 하게 되는가?	900J	일/에너지 공식: W=QV. (W: 일/줄, Q: 전기량/쿨롬, V: 전압/볼트). 300C×3V=900J.
7:46:04	1172	전기이론	동일한 저항 네 개를 접속해서 얻을 수 있는 최대 저항값은 최소 저항에 몇 배인가?	16배	저항 최대/최소: 최대(직렬) Rmax​=4R, 최소(병렬) Rmin​=R/4. Rmin​Rmax​​=R/44R​=16.
7:46:43	1173	전기이론	정전 용량이 같은 콘덴서 두 개를 병렬로 연결했을 때 합성 정전 용량은 직렬로 연결했을 때 몇 배인가?	4배	콘덴서 최대/최소: 병렬(최대) Cmax​=2C, 직렬(최소) Cmin​=C/2. Cmin​Cmax​​=C/22C​=4.
7:47:19	1174	전기이론	환상 솔레노이드에 감겨진 코일의 권 횟수를 세 배로 늘리면 자체 인덕턴스는 몇 배로 되는가?	9배	자체 인덕턴스-권수 관계: L∝N2 (권수의 제곱에 비례). 3배로 늘리면 32=9배가 된다.
7:48:00	1175	전기이론	20분간 $876,000 \text{J}$의 일을 할 때 전력은 몇 $\text{kW}$인가?	0.73kW	전력 공식: P=W/t. P=20×60s876,000J​=1200876,000​=730W. $\text{kW}$로 변환하면 0.73kW.
7:48:52	1176	전기이론	전류 I는 8+j6 [A]로 표시되는 전류의 크기 I는 몇 $\text{A}$인가?	10A	복소수 크기: $
7:49:22	1177	전기이론	$4 \text{F}$과 $6 \text{F}$의 콘덴서를 병렬 접속하고 $10 \text{V}$의 전압을 가했을 때 축적되는 전하량 Q [C]은?	100C	전하량 공식: Q=CV. 병렬 합성 용량 C=4F+6F=10F. Q=10F×10V=100C.
7:50:04	1178	전기이론	전력량 $1 \text{W} \cdot \text{h}$의 의미가 같은 것은?	3,600J	전력량 단위 변환: 1W⋅h=1W×1h=1W×3,600s=3,600W⋅s=3,600J.
7:50:29	1179	전기이론	그림에서 단자 $\text{A}$와 B 사이의 전압은 몇 볼트인가? (1.5V 4개, 3V 1개, 0.5V 1개 직렬 연결)	2.5V	직렬 전지 전압: 같은 방향(가동) 전압은 더하고, 반대 방향(차동) 전압은 뺀다. V합​=(1.5×4+0.5)−3=(6+0.5)−3=6.5−3=3.5V. (단, 해설에서는 1.5×2+3+0.5−1.5×2−0.5 로 계산하여 $2.5 \text{V}$가 나왔는데, 그림의 전지 극성 배열을 따라 계산해야 정확함. 해설의 $2.5 \text{V}$를 정답으로 채택)
7:51:06	1180	전기이론	$1 \text{A} \cdot \text{h}$는 몇 쿨롬인가?	3,600C	전하량 공식: Q=It. C=A⋅s. 1A⋅h=1A×1h=1A×3,600s=3,600A⋅s=3,600C.
7:51:39	1181	전기이론	$5 \text{W} \cdot \text{h}$는 몇 줄인가?	18,000J	전력량 단위 변환: 1W⋅h=3,600J. 5W⋅h=5×3,600J=18,000J.
7:52:11	1182	전기이론	2,3,5 [μF]인 세 개의 콘덴서가 병렬로 접속되었을 때 합성 정전 용량은?	10μF	콘덴서 병렬 합성: C=C1​+C2​+C3​. 2+3+5=10μF.
7:52:32	1183	전기이론	$10 \text{A}$의 전류로 6시간 방전할 수 있는 축전지의 용량은?	60A⋅h	축전지 용량: Q=It (전류 × 시간). 10A×6h=60A⋅h.
7:52:48	1184	전기이론	Y결선의 전원에서 상전압이 $100 \text{V}$일 때 성간 전압은 약 몇 볼트인가?	173V	Y결선 전압: VL​=3​VP​. VL​=3​×100V≈1.732×100V=173.2V.
7:53:30	1185	전기이론	그림과 같은 평형 3상 델타 회로를 등가 Y결선으로 환산하면 각상의 임피던스는 몇 옴이 되는가? (단, 임피던스 Z=12Ω이다.)	4Ω	Δ−Y 등가 변환: ZY​=31​ZΔ​. ZY​=31​×12Ω=4Ω.
7:54:41	1186	전기이론	4Ω의 저항에 $200 \text{V}$의 전압을 인가할 때 소비되는 전력은?	10kW	소비 전력 공식: P=RV2​. P=4Ω2002​=440000​=10000W=10kW.
7:55:18	1187	전기이론	자속 밀도가 2Wb/m2인 평등 자기장 중에 자기장과 30∘ 방향으로 길이 $0.5 \text{m}$인 도체 $8 \text{A}$의 전류가 흐르는 경우 전자력을 물었네요.	4N	전자력 공식 (플레밍의 왼손 법칙): F=BILsinθ. F=2×8×0.5×sin30∘=2×8×0.5×21​=4N.
7:56:11	1188	전기이론	진공 중에 $10 \mu \text{C}$과 $20 \mu \text{C}$의 점전하를 1m 거리로 놓았을 때 작용하는 힘은 몇 뉴턴인가?	1.8N	쿨롱의 법칙: F=kR2Q1​Q2​​ (k=9×109). F=9×109×12(10×10−6)×(20×10−6)​=9×109×200×10−12=1800×10−3=1.8N.
7:57:26	1189	전기이론	어떤 교류 회로의 순식값이 v=2​Vsin(ωt) [V]인 전압에서 ωt=π/6 [라디안]일 때 $100 \sqrt{2} \text{V}$이면 이 전압에서의 실효값 V는?	200V	교류 순식값: v=Vm​sinθ. v=2​Vsin(30∘)=1002​. 2​V×21​=1002​. 2V​=100. V=200V.
7:58:28	1190	전기이론	$0.2 \text{S}$의 컨덕턴스 두 개를 직렬로 접속하여 $3 \text{A}$의 전류를 흘리려면 몇 볼트의 전압을 공급하면 되는가?	30V	합성 컨덕턴스: 직렬 연결 시 G1​=G1​1​+G2​1​. G=G1​+G2​G1​G2​​=0.2+0.20.2×0.2​=0.1S. 저항: R=G1​=0.11​=10Ω. 전압: V=IR=3A×10Ω=30V.
7:59:07	1191	전기이론	델타 결선인 3상 유도 전동기에 상전압 VP​와 상전류 IP​를 측정하였더니 각각 $200 \text{V}$와 $30 \text{A}$였다. 이 3상 유도 전동기의 성간전압 VL​과 선전류 IL​의 크기는 각각 얼마인가?	VL​=200V,IL​=303​A	Δ 결선: VL​=VP​ (전압 같음), IL​=3​IP​ (선전류가 $\sqrt{3}$배). VL​=200V,IL​=3​×30A=303​A.
7:59:52	1192	전기이론	$3 \text{kW}$의 전열기를 1시간 동안 사용할 때 발생하는 열량은 몇 $\text{kcal}$인가?	2,580kcal	열량 공식: H=0.86Pt (kcal, P는 kW, t는 시간). H=0.86×3kW×1h=2.58kWh. 0.24Pt는 P가 W, t가 $\text{s}$일 때 cal 단위이다. (암기 팁: $0.24 \text{W} \cdot \text{s} = 0.24 \text{J}$로 $\text{cal}$로 변환)
8:00:37	1193	전기이론	초산 은 용액 (AgNO3​)에 $1 \text{A}$의 전류를 2시간 동안 흘렸다. 이때 은의 석출량은? (단, 은의 전기 화학 당량은 1.1×10−3g/C)	m=kQ=kIT, 7.92g	패러데이의 법칙 m=kIT 사용. I=1A, T=2×3600=7200s. m=(1.1×10−3)×1×7200=7.92g.
8:01:38	1194	전기이론	C1​=5μF, $\text{C}_2 = 10 \mu\text{F}$의 콘덴서를 직렬로 접속하고 직류 $30 \text{V}$를 가했을 때 C1​ 양단의 전압은 어떻게 되는가?	V1​=C1​+C2​C2​​V, 20V	콘덴서 직렬 연결 시 전압 분배는 반대편 용량에 비례한다. V1​=C1​+C2​C2​​×V=5+1010​×30=20V.
8:02:15	1195	전기이론	1eV (일렉트론 볼트)는 몇 줄(J)인가?	1.602×10−19J	$1 \text{eV}$는 전자 하나가 $1 \text{V}$의 전위를 거슬러 올라갈 때 드는 일이다. 기본 전하량 e를 줄로 환산한 값: 1eV=eJ=1.602×10−19J.
8:02:46	1196	전기이론	최대 눈금이 1A, 내부 저항이 10Ω의 전류계로 최대 $100 \text{A}$까지 측정하려면 몇 Ω의 분류기가 필요한가?	Rs​=m−1Rm​​, 0.1Ω	분류기의 저항 Rs​ 공식 (m: 배율) 또는 전류계의 측정 최대값 공식 I=Im​(1+Rs​Rm​​) 사용. 100=1×(1+Rs​10​). 99=Rs​10​. Rs​=9910​≈0.101Ω. →0.1Ω.
8:03:22	1197	전기이론	어떤 3상 회로에서 선간 전압이 200V, 선전류 25A, 3상 전력이 $7 \text{kW}$였다. 이때 역률은 약 얼마인가?	P=3​VL​IL​cosθ, 0.81	3상 전력 공식 P=3​VL​IL​cosθ 사용. cosθ=3​VL​IL​P​=3​×200×257000​≈0.808→0.81.
8:04:09	1198	전기이론	$100 \text{kVA}$의 단상 변압기 두 대를 V결선으로 3상 전력을 공급할 때 출력은 어떻게 되는가?	PV​=3​P1​, 173.2kVA	V결선 출력 PV​=3​P1​ (P1​: 변압기 한 대 용량). PV​=3​×100≈173.2kVA.
8:04:43	1199	전기이론	기전력이 120V, 내부 저항 Ri​=15Ω인 전원이 있다. 여기에 부하 저항 RL​을 연결하여 얻을 수 있는 최대 전력은? (단, 최대 전력 전달 조건은 RL​=Ri​이다.)	Pmax​=4Ri​V2​, 240W	최대 전력 전달 조건 RL​=Ri​=15Ω. 전류 I=Ri​+RL​V​=15+15120​=4A. 최대 전력 Pmax​=I2RL​=42×15=240W. (또는 Pmax​=4Ri​V2​=4×151202​=240W).
8:05:40	1200	전기이론	권수 300회의 코일에 $6 \text{A}$의 전류가 흘러서 $0.05 \text{Wb}$의 자속이 코일을 지난다고 하면 이 코일의 자체 인덕턴스는 몇 헨리인가?	LI=Nϕ, 2.5H	자체 인덕턴스 공식 LI=Nϕ 사용. L=INϕ​=6300×0.05​=2.5H.
8:06:32	1201	전기이론	(그림: $15 \text{V}$와 $5 \text{V}$의 전원이 반대 극성으로 연결되고 5Ω, 3Ω의 저항이 직렬 연결된 폐회로) 폐회로에 흐르는 전류는 몇 $\text{A}$인가?	I=R1​+R2​V1​−V2​​, 1.25A	전원의 극성이 반대이므로 기전력은 차(15−5V)를, 저항은 합(5+3Ω)을 사용. I=5+315−5​=810​=1.25A.
8:07:09	1202	전기이론	3상 교류 회로의 선간 전압이 13,200V, 선전류가 800A, 역률 $80%$의 부하의 소비 전력은 약 몇 $\text{MW}$인가?	P=3​VL​IL​cosθ, 14.63MW	3상 전력 공식 P=3​VL​IL​cosθ 사용. P=3​×13200×800×0.8≈14631488W≈14.63MW.
8:07:44	1203	전기이론	공기 중에 $10 \mu\text{C}$과 $20 \mu\text{C}$을 1m 간격으로 놓을 때 발생되는 정전력은?	F=9×109r2Q1​Q2​​, 1.8N	쿨롱의 법칙 F=9×109r2Q1​Q2​​ 사용. F=9×109×12(10×10−6)×(20×10−6)​=9×109×200×10−12=1.8N.
8:08:26	1204	전기이론	200V, $2 \text{kW}$의 전열선 두 개를 같은 전압에서 직렬로 접속한 경우의 전력은 병렬로 접속한 경우보다 어떻게 되는가?	P∝R1​, 1/4	전열선 하나의 저항 R은 $\text{P} = \frac{\text{V}^2}{\text{R}}$에서 R=20002002​=20Ω. 직렬 연결 시 합성 저항 Rs​=2R=40Ω, 전력 Ps​=Rs​V2​=1000W. 병렬 연결 시 합성 저항 Rp​=R/2=10Ω, 전력 Pp​=Rp​V2​=4000W. Pp​Ps​​=40001000​=41​. (저항은 직렬일 때 2배, 병렬일 때 1/2배. 전력은 $\text{P} \propto \frac{1}{\text{R}}$이므로 직렬일 때 병렬의 $\frac{1}{4}$배).
8:09:59	1205	전기이론	$3 \text{kW}$의 전열기를 정격 상태에서 20분간 사용했을 때 열량은 몇 $\text{kcal}$인가?	H=0.24PT, 860kcal	열량 공식 H=0.24PT (P: 와트, T: 초) 사용. T=20×60=1200s. H=0.24×(3000W)×(1200s)=864000cal=864kcal. → 근접값 860kcal.
8:10:42	1206	전기이론	가정용 전등 전압이 $200 \text{V}$이다. 이 교류의 최댓값은 몇 볼트인가?	Vm​=2​Vrms​, 282.8V	교류의 최댓값(Vm​)은 실효값(Vrms​)에 $\sqrt{2}$를 곱한다. 가정용 전압 $200 \text{V}$는 실효값. Vm​=2​×200≈1.414×200≈282.8V.
8:11:18	1207	전기이론	10Ω의 저항과 RΩ의 저항이 병렬로 접속되고 10Ω에 흐르는 전류가 5A, R에 흐르는 전류가 $2 \text{A}$면 저항 R은 몇 Ω인가?	병렬 전압 동일, V=IR, 25Ω	병렬 접속이므로 두 저항에 걸리는 전압은 같다. V10Ω​=VR​. V10Ω​=5A×10Ω=50V. VR​=50V. R=IR​VR​​=250​=25Ω.
8:12:10	1208	전기이론	저항 8Ω과 코일이 직렬로 접속된 회로에 $200 \text{V}$의 교류 전압을 가하면 $20 \text{A}$의 전류가 흐른다. 코일의 리액턴스는 몇 Ω인가?	Z=R2+XL2​​, 6Ω	전체 임피던스 Z=IV​=20200​=10Ω. $\text{Z}$는 RL 직렬 회로에서 Z=R2+XL2​​. 10=82+XL2​​. XL2​=102−82=100−64=36. XL​=6Ω.
8:13:27	1209	전기이론	두 자극 m1​=4×10−5Wb, m2​=6×10−3Wb 사이 거리 r이 $10 \text{cm}$면 두 자극 사이에 작용하는 힘은 약 몇 $\text{N}$인가?	F=6.33×104r2m1​m2​​, 1.52N	쿨롱의 법칙 (자기에너지) $\text{F} = \frac{1}{\mu_0} \frac{\text{m}_1 \text{m}_2}{\text{r}^2}$에서 μ0​1​=4π×10−71​≈6.33×104. r=0.1m. F=(6.33×104)0.12(4×10−5)×(6×10−3)​≈1.5192N→1.52N.
8:14:40	1210	전기이론	$2 \text{C}$의 전기량이 이동을 위하여 $10 \text{J}$의 일을 하였다면 두 점 사이의 전위차는 몇 볼트인가?	W=QV, 5V	일 W, 전기량 Q, 전위차 V 관계 W=QV 사용. V=QW​=2C10J​=5V.
8:15:02	1211	전기이론	(그림: R=25Ω, ωL=100Ω이 병렬 연결된 회로에 200V 전압 인가) 코일에 흐르는 전류 IL​은 몇 $\text{A}$인가?	IL​=ωLV​, 2A	RL 병렬 회로에서 코일에 흐르는 전류는 $\text{I}_L = \frac{\text{V}}{\text{X}_L}$이고 $\text{X}_L = \omega\text{L}$. $\text{I}_L = \frac{200 \text{V}}{100 \Omega} = 2 \text{A}$. ($\text{R}$값은 병렬 연결이므로 필요 없음).
8:16:00	1212	전기이론	(그림: R1​에 R2​,R3​,R4​가 병렬 연결된 회로. 저항값은 R1​>R2​>R3​>R4​ 순) 전류가 최소로 흐르는 저항은?	병렬 연결, 저항 반비례, R2​	전체 전류 I1​은 R1​에 흐르고, R2​,R3​,R4​는 병렬 연결되어 전압이 같고, 전류는 저항에 반비례한다. R2​가 R3​,R4​ 중 가장 저항이 크므로, 이 병렬 구간에서는 R2​에 가장 작은 전류(I2​)가 흐른다.
